name, birth_loc, pocc, marriage, lastname
Williamson Thomas,,,,Thomas
Benson Henry,,,,Henry
Cooper Alfred Campbell Beal , Holy Trinity Hull,,,Alfred
Eglinton Anthony,,,,Anthony
Fawcett Robert,,,,Robert
Evans William , Ross Herefords,,,William
Gunn Charles,,,,Charles
Cornish Nicholas,,,,Nicholas
Durand John ,,,,John
Brickett John,,,,John
Fryer George Harrison , Otley,banker's clerk,,George
Chennell John , Tenterden Kent,,,John
Symons John,,,,John
Wilson John,,,,John
Lawrence James ,,,,James
Miller David,,,,David
Mortimer Herbert , Eastbourne Sussex,,,Herbert
Vincent Richard,,,,Richard
Mackenzie James ,,,,James
McLeod Donald , Harris Inverness,,,Donald
Darby Joseph,,,,Joseph
Catanach John,,,,John
Abbs William C,,,,William
Crichton Thomas ,,,,Thomas
Barton Robert Johnstone ,St Marylebone London,esq,,Robert
Rowe William,,,,William
Gale John,,,,John
Jordan Basil,,,,Basil
Nairne Robert,,,,Robert
Davis John,,,,John
Kirby Lancelot,,,,Lancelot
Jacobs William Henry,,,,William
Sissmore S P,,,,S
Chapman Ingram,,,,Ingram
Parker Peter,,,,Peter
Vautier Daniel , French Church London,,,Daniel
Willson John,,,,John
Storar James ,Scotland,,,James
Shaw Charles,,,,Charles
Sutherland George ,Scotland,,,George
Hinton Christopher,,,,Christopher
Rattray Alexander,,,,Alexander
Adney George ,,,,George
Smith John Wyatt , Packington Leics,,,John
Lyell Christopher,,,,Christopher
Ferguson William,,,,William
McLean Charles ,,,,Charles
Fellows William Dorset , at sea,,,William
Partree Bartholomew,,,,Bartholomew
Dorrill Robert,,,,Robert
Tovey Michael,,,,Michael
Spry William , Witheridge Devon,,,William
Thirkell John ,,,,John
Kinsman James,,,,James
Fewtrell Edward,,,,Edward
Hitchins William,,,,William
Home M,,,,M
Brown Simmons , Newborn Northumberland,,,Simmons
Blundell John ,,,,John
Barnard Samuel , St Clement's Ipswich,,,Samuel
Mitchell James , Oxford,,,James
Maitland Benjamin ,,,,Benjamin
Ferrier James,,,,James
Jackson Isaac ,,,,Isaac
Forbes John,,,,John
Morrison M,,,,M
D'Auvergne Philip ,,,,Philip
Scholding Alfred,,,,Alfred
Lotherington Thomas,,,,Thomas
Phinney John,,,,John
Dupuis Edward,,,,Edward
Portlock Nathaniel,,,,Nathaniel
Tailing Edmund,,,,Edmund
Low Charles,,,,Charles
Leech Thomas Watson , St Helena,,,Thomas
Dewar James,,,,James
Stratton James ,,,,James
Master Gideon,,,,Gideon
Bowman Arthur Low ,,,,Arthur
Elliston Edmund ,,,,Edmund
Parsons John,,,,John
Haylett William , Great Yarmouth Norfolk,,,William
Timings or Timmings John ,England,,,or
Ward John,,,,John
Archbold John,,,,John
Irving Christopher,,,,Christopher
Hicks Edward,,,,Edward
Graham John,,,,John
Kitchin James,,,,James
Willson David,,,,David
Legget George Alfred , St Dunstant_in_the_West London,,,George
Buchanan William ,England,,,William
Grant Nathaniel,,,,Nathaniel
Bannie David,,,,David
Perry Robert,,,,Robert
Egholdt Johannes,,,,Johannes
Clapham John,,,,John
Ranee Thomas ,,,,Thomas
Paratt S R,,,,S
Longcroft Charles,,,,Charles
Grother John,,,,John
Maxwell George,,,,George
Atkinson John,,,,John
Herriott Robert,,,,Robert
Lockyer Thomas,,,,Thomas
Keching William ,,,,William
Gallop Robert,,,,Robert
Chambers Francis , Walworth New Jerusalem Church Doctors' Commons London,,m 28 May 1833 St Mary's= Lambeth= London= Mary Emma Bunn,Francis
Gallatly Lawrence ,,,,Lawrence
Rice Henry,,,,Henry
Allnut Zachary,,,,Zachary
Ogilvie James,,,,James
Prince Richard,,,,Richard
Wall W Larton,,,,W
Cresley James,,,,James
Dennis Benjamin ,,,,Benjamin
Andrews Thomas Welladvice ,St Paul's Deptford ,gent,,Thomas
Love Hugh,,,,Hugh
Uvedale Edmund,,,,Edmund
Cazalet Peter,,,,Peter
Dawes Richard,,,,Richard
Johnston G W,,,,G
Buck Samuel ,,,,Samuel
Barclay G D,,,,G
Wilton Joseph William , St Michael's Dublin,,,Joseph
Field William , St Peter's Gt Berkhamsted Herts,,,William
Reed Ralph ,Yorkshire,,,Ralph
Curtis George Jewell , Holy Trinity Dorchester,,m 3 Jul 1827 St James= Poole= Dorset= Mary Knight Curtis George Hazelton b 24 May 1831,George
Jones Evan,,,,Evan
Wales Richard , Walberswick Suffolk,,,Richard
Eyles James , England,,,James
Priest Joseph,,,,Joseph
Thoresby Richard,,,,Richard
Douglas Andrew,,,,Andrew
Ratsey Robert,,,,Robert
Shaw William Mackenzie , Kirkcudbright,Lieutenant,,William
Tapling Jeremiah,,,,Jeremiah
Livingstone Matthew ,,,,Matthew
Stiles Thomas,,,,Thomas
Hooper George ,England,,,George
MacMath John ,Scotland,,,John
Theake Richard,,,,Richard
Wise John,,,,John
Snow _?_,,,,_?_
Thompson Henry , England,,,Henry
Norway Neville,,,,Neville
Eades Edward,,,,Edward
Clapp Charles ,England,,,Charles
Hamilton James , Kilbrackmont,,,James
Elton Robarts,,,,Robarts
Swanton Thomas,,,,Thomas
Rankine James,,,,James
Wise George,  Kingston Devon,esq,,George
Boulton J L,,,,J
Ainslie James ,,,,James
Williams David,,,,David
