id, name
995,McMillan Iver
996,McNab Angus
8358,Myers Roger
998,McTaggart John Orr
999,Mead Robert
1000,Meadows Dixon
1001,Meard George
1002,Mears Charles
1003,Mears William
1004,Mercer William
1005,Meriton Henry
1006,Meriton Richard
1007,Merry John
1008,Mertho John
1009,Michelborne Sir Edward
1010,Micklefield Richard
1011,Middleton David
1012,Middleton John
1013,Middleton Sir Henry
1014,Miller
1015,Miller David
1016,Milles John
1017,Millet John
1018,Millett George
1019,Millett Nicholas
1020,Mills John
1021,Milner Roger
1022,Milner William
1023,Minors William
1024,Minter Lawrence
1025,Misenor John
1026,Misenor Robert
1027,Mitchell Bruce
1028,Mitchell Sir Charles
1029,Mitchell David
1030,Mitchell Gilbert
1032,Mitchell Stephen
1033,Mitchell William
1034,Mitford Charles
1035,Moffat William
1036,Moffatt James
1037,Moffatt William
1038,Monck Thomas
1039,Moncrieff Lewis W.
1041,Money John
1042,Money William Taylor
1043,Bishop James Thomas
1044,Monro James
1045,Monro Robert
1046,Montagu William Augustus
1047,Montgomerie Alexander
1048,Montgomery James
1049,Moore Samuel
1050,Morgan Michael
1051,Morgan Robert
1052,Moring James
1053,Morris Arthur
1054,Morris William
1055,Morrison Richard
1056,Mortimer Thomas
1057,Mortlock Charles
1058,Mortlock Charles 
1059,Mortlock James
1060,Morton Matthew
1061,Motley Thomas
1062,Muirhead A.
1063,Mumford John
1064,Munro Daniel Nesbitt
1065,Murray Anthony
1066,Murray James
1067,Murray Thomas Garland
1068,Murrelol Abraham
1069,Musgrave Thomas
1070,Muter Arthur
1071,Myers Roger
1072,Nairne Alexander
1073,Nairne Fasham
1074,Nansan John
8371,Nanfan John
1076,Nash James
1077,Needham Daniel
1078,Negus Johnathan
1079,Neish James
1080,Nelly Francis
1081,Nesbitt William
1082,Newall David Rae
1083,Newell Charles Hazell
1084,Newham John
1085,Newport Anthony
1086,Newport Christopher
1087,Newsham Thomas
1088,Newte Thomas
1089,Newton Charles
1090,Newton George
1091,Nichol John
1092,Nicholls George
1093,Nisbet Richard
1094,Nixon Thomas
1095,Norfor Robert Wright
1096,Normand James
1098,Norway Neville
1099,Nutt Justinian
1100,O'Brien John
1101,Ogilvie James
1102,O'Hare Geoffrey
1103,Oliver John
1104,Opie John
1105,Orrok Wemyss
1107,Osborne James
1108,Ostler William
1109,Own Richard
1110,Paiba John
1112,Palmer E. H.
1113,Palmer George
1114,Palmer John
1115,Palmer Robert Fish
1116,Parish J. R.
1117,Parker Thomas
1118,Parker William
1119,Parks William
1120,Parramore Thomas
1121,Parrick Andrew
1122,Parrott Abraham
8379,Nash Alexander
1124,Partington Watkin
1125,Pascall William Larkins
1126,Passmore Henry
1127,Paterson John
1128,Patrickson Thomas
1129,Patterson Alexander
1130,Patterson Charles
1131,Patterson John
1132,Patterson Robert
1133,Patterson William
1134,Patton Andrew
1135,Pattullo Robert
1136,Paul Nathaniel
1137,Payne John
1138,Payne Samuel
1139,Peacock Eustace
1140,Peacock Tempest
8382,Nash James
1142,Pearse John
1143,Pearson James
1144,Pearson John
1145,Peck William
1146,Peirce Richard
1147,Pelly Henry
1148,Pelly Henry Hinde
1149,Pelly John jr.
1151,Pemberton William
1152,Pendergrass James
1153,Pennell Richard
1154,Percival Lucas
1155,Perse William
1156,Peters William
1157,Petrie John
1158,Peyton Walter
1159,Phillips George
1160,Phillips Joseph
1161,Phinney George
1162,Phripp Richard
1163,Pidding John Rhodes
1164,Pierce Richard
1165,Pierce Thomas Burston
1166,Pigot Charles
1167,Pigou Peter
1168,Pinnel William
1169,Pinnell Richard jr.
9362,Probert _?_ 
1171,Pinson John
1172,Pitcher Thomas
1173,Pitman Frederick
1174,Pitt Wentworth George
9367,Proctor Ambrose Frederick 
1176,Pocock John
1177,Poole Benjamin
1178,Pope William Langley
1179,Portlock Nathaniel
1180,Pouncy Robert
1181,Power John
1182,Poynter James Methurst
1183,Poynting Thomas
1184,Prescott Charles Elton
1185,Prescott. Charles Elton
1186,Preston Robert
1187,Price John
1188,Price Thomas
1189,Prickman Benjamin
1190,Prince John
1191,Prince Lawrence
1192,Privett John
1193,Probert
1194,Probyn George
1195,Proctor Ambrose Frederick
1196,Proud John
1197,Pryce Josiah
1198,Purling John
1199,Purvis Charles
1200,Pye Randle
1202,Pyke Isaac
1203,Pyke John
1204,Pynne John
1205,Quicke Andrew
1207,Raincock George
9400,Purvis Charles
1209,Raines Thomas
1210,Raitt Charles
1211,Ramage Patrick
1212,Ramsay John
1213,Ramsden John
1214,Rankine Robert
1215,Rattray James
1216,Rawes Richard
1217,Rawlings Thomas
1218,Raymond Charles
9411,Handle Pye
1220,Raymond John
9413,Pyke Isaac
1222,Reid Hugh
9415,Pyke John
1224,Reay Robert
1225,Reddall Finch
1226,Reddall John
1227,Reddie John
9420,Pynne John
1229,Reed Francis
1230,Rees James
1231,Reeves Peter John
1234,Remmington Samuel
9427,Quick Andrew
1236,Reynolds William
1237,Rhode Robert
1238,Rice David
1239,Rice Henry
1240,Rice John 
1241,Richards _____
1242,Richards William
8399,Needham Daniel 
1244,Richardson George
1246,Richardson George
1247,Richardson Isaac Godsalve
1248,Riches Matthew
1249,Riddell Thomas
1250,Ridley Philip
1251,Rigby Charles
1252,Risby Henry
1253,Roberts Arundel
9446,Raincock George 
8401,Negus Jonathan
9448,Raine Thomas
1257,Robertson Alexander
1258,Robertson Andrew
1259,Robertson George
1260,Robertson Thomas
9453,Raitt Charles 
1262,Robinson Robert
1263,Robson William
1264,Roch Edward
1265,Roddam Collingwood
1266,Rogers John
1267,Rogers Samuel
1268,Rolland Peter
1269,Roper William
1270,Ross Andrew
1271,Ross James
1272,Ross Thomas
1273,Rous Benjamin
1274,Rous Robert
1275,Rous Thomas Bales
1276,Rowles Richard
9469,Ramsay John
1278,Russell Gervase
1279,Ryland Charles
1280,Ryves Thomas
1281,Salisbury John B.
1282,Salkeld Joseph
1283,Salmon Nathaniel
1284,Saltwell George
1285,Sampson Peter
1286,Samson Brook
1287,Samson Henry Morse
1288,Samson John
1289,Samson John Brook
